TARGET,SK_ID_CURR,EXT_SOURCE_2,EXT_SOURCE_3,DAYS_BIRTH,DAYS_EMPLOYED,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,NAME_CONTRACT_TYPE,CODE_GENDER,NAME_EDUCATION_TYPE,AMT_GOODS_PRICE,NAME_INCOME_TYPE,NAME_HOUSING_TYPE
0,100521,0.6890576635453516,,-18491,-8779,299755.23167669005,1050646.5333661877,97535.8522316786,Cash loans,F,Secondary / secondary special,1041513.1220623432,Working,House / apartment
0,100737,0.6149302958279795,0.40077811197548324,-12548,-7319,137215.35238541197,638283.7504310842,37474.381280367044,Cash loans,F,Higher education,,Working,House / apartment
0,100740,0.6929749655931894,0.7497718799980362,-14076,-8323,258074.65053734818,1105989.2991137276,58738.42657555847,Cash loans,M,Secondary / secondary special,1075307.6410507183,Commercial associate,House / apartment
0,100660,0.3917221117001671,0.559733505357097,-13273,-1944,279621.5951916622,852141.2548573082,37496.243776044794,Revolving loans,M,Higher education,704864.0164085546,Working,House / apartment
0,100411,0.33489083727862934,0.403670742392785,-17742,-9271,198505.6816309904,805429.9592768037,80150.53265726121,Revolving loans,F,Secondary / secondary special,666480.2558630458,Working,House / apartment
0,100678,0.6926691305838132,0.4109024177633873,-21060,-1821,283614.5947116457,1116292.893651093,88222.30160223928,Cash loans,F,Incomplete higher,1018985.709379808,Working,House / apartment
0,100626,0.6104893106405,0.40460540423004926,-12378,-8984,235666.32655403367,747670.4256300976,42151.0594300963,Cash loans,F,Secondary / secondary special,599876.1413075564,State servant,House / apartment
0,100513,0.32752463906752494,0.5402446961564744,-18565,-1240,221090.20531334533,1095333.0830727138,72096.04071146138,Cash loans,F,Secondary / secondary special,954866.609168573,State servant,House / apartment
0,100859,0.5427424335267143,0.5170809261177278,-23237,-4961,155616.2374584007,500659.7091288557,38561.22341792037,Cash loans,M,Secondary / secondary special,414363.78681551747,Working,With parents
0,100136,0.3387460899018407,0.4319262826938697,-18573,-8042,255788.86609455064,935729.301142131,43092.83691544723,Cash loans,F,Higher education,874373.139634292,Pensioner,House / apartment
0,100811,0.4185196253443349,0.7995077216982702,-13418,-1050,200779.2572991758,989860.9058062492,41549.741255554596,Revolving loans,M,Secondary / secondary special,860131.1458495227,Commercial associate,With parents
1,100076,0.20220370950864067,0.14871237413970176,-14264,-1246,53324.01823572415,179682.0376282637,11849.22396543884,Cash loans,F,Higher education,172807.94830798495,Working,House / apartment
0,100636,0.5901438010873299,0.5178364315873296,-14186,-3445,200018.5404841747,742453.1889867149,35770.521789701554,Cash loans,M,Secondary / secondary special,737723.4199695977,Commercial associate,House / apartment
0,100973,0.39714250182083954,,-20137,-5455,246539.71576721082,737708.797942433,36371.69358987136,Cash loans,M,Higher education,604149.0196775827,Commercial associate,House / apartment
0,100938,0.36665367482813405,0.7084245506205078,-14374,-1414,180576.2849892343,755972.2409700463,53922.59808691847,Cash loans,F,Secondary / secondary special,686349.8043164631,Working,House / apartment
0,100899,0.3581941196146304,0.6233605335658235,-19463,-5545,281461.96227929567,1092557.477064405,83076.76175432904,Cash loans,F,Secondary / secondary special,961791.8333569621,Working,With parents
0,100280,0.5442791492426232,0.4695436338290788,-22135,-2845,291005.86849146464,664677.9631132379,65176.70728741536,Cash loans,F,Secondary / secondary special,561805.8160755181,Working,House / apartment
0,100883,0.3266464685862637,0.7404977106679793,-14897,-4537,174429.98387162123,561655.8177383253,25187.426130514083,Cash loans,M,Incomplete higher,536110.4168893972,Working,House / apartment
0,100761,0.3786569162517692,0.4835257600751972,-19197,-1824,295836.01619120385,1042438.3775075082,,Cash loans,F,Secondary / secondary special,1013733.1336253954,State servant,House / apartment
0,100319,0.5971895555839759,0.4153717837955788,-20424,-9396,243538.6745933335,808960.420958229,59480.26218189549,Cash loans,M,Secondary / secondary special,769001.2251622158,Commercial associate,House / apartment
0,100549,0.6840206433777184,0.7436746662151907,-12037,-4895,134926.73704414326,628636.7924904171,55050.58674221328,Cash loans,F,Secondary / secondary special,562894.7512164424,Commercial associate,House / apartment
0,100174,0.42191669543278004,0.47911961412415205,-17950,-8695,99583.66111380701,462043.68436349515,32202.731166638347,Cash loans,M,Higher education,422741.9699183989,State servant,House / apartment
0,100371,,0.6425760885733715,-21239,-6438,153186.5295505786,691242.5739272413,59229.25007023305,Cash loans,M,Higher education,642363.7504762047,Working,House / apartment
0,100527,,0.5046428233728296,-18503,-9592,290089.9036372612,989116.8466277734,39968.961412016884,Revolving loans,F,Secondary / secondary special,802211.0324061005,Pensioner,House / apartment
0,100210,0.34353086394738963,0.5842150134725063,-12139,-6609,173210.32024994018,499980.6439172743,42941.502382136605,Cash loans,F,Higher education,402259.11304083857,Commercial associate,House / apartment
0,100235,0.4324957556970853,0.5178557527400124,-18888,-8914,203568.47137634098,928618.4254039963,40787.12984354205,Cash loans,M,Secondary / secondary special,,Pensioner,House / apartment
0,100101,0.457574238257197,0.6346305277109522,-21201,-1254,186229.26205777316,510730.4344630169,31958.047863655516,Cash loans,F,Secondary / secondary special,434485.983302907,Working,House / apartment
0,100986,0.3068829060051129,0.7497686859201917,-18002,-5446,161070.7973605035,446150.62930141273,34156.43499517415,Cash loans,F,Incomplete higher,400235.25777709566,State servant,House / apartment
0,100902,0.6160592218924839,,-19705,-8427,253871.69672402382,1194539.051103914,64285.768793186726,Cash loans,F,Secondary / secondary special,1049812.0662084136,Working,House / apartment
0,100947,0.5254250159413784,0.6424828159047287,-17461,-7167,242529.17042071922,1103970.7486809546,85128.954937042,Cash loans,M,Secondary / secondary special,1101682.5274802125,Working,Municipal apartment
0,100346,,0.7268480533324625,-14019,-7868,197371.24230355409,613364.0199788775,28605.20103740204,Cash loans,F,Secondary / secondary special,522170.7377409404,Commercial associate,House / apartment
0,100139,0.5042502931438503,0.6381447790189321,-22442,-9460,108191.23532184018,394836.3091065166,34524.85805798986,Cash loans,F,Secondary / secondary special,334966.7204316431,Commercial associate,House / apartment
0,100621,0.6293499065500937,0.6984282906104282,-24565,-9617,232314.04783355026,896475.3614911445,55219.671731652066,Revolving loans,F,Secondary / secondary special,755490.5123372342,Pensioner,House / apartment
0,100499,0.6588599884840872,0.4784992591435376,-13595,-5715,198712.68692868043,489570.7218312747,21891.954151974413,Cash loans,F,Secondary / secondary special,439502.18922793603,Working,House / apartment
0,100370,0.4013757719309252,0.654910349852264,-22557,-2875,193277.02075615517,466173.58756217285,,Cash loans,F,Secondary / secondary special,403497.3721535628,Working,House / apartment
0,100198,0.5269646080373299,0.4787553970375973,-18105,-5047,250798.82073057367,836312.0608704345,53737.07937363589,Cash loans,M,Secondary / secondary special,833715.2718351657,Working,House / apartment
0,100687,0.3917060372523,0.521556916205911,-14166,-9214,203712.5796247281,748277.3551241695,30280.099765137653,Cash loans,F,Secondary / secondary special,699318.3337002998,Working,With parents
0,100584,0.31127404981569834,0.5894757790096729,-15025,-5022,164679.34932613783,718478.7620589063,63952.57642587173,Cash loans,F,Secondary / secondary special,635333.1473240439,State servant,With parents
0,100901,0.416558372180881,0.4504908022634986,-22810,-3901,90445.0607997397,247458.66292759712,11754.048696197711,Revolving loans,F,Secondary / secondary special,,Pensioner,House / apartment
1,100059,0.1198688680538903,0.49033461541098244,-14785,-1265,65744.89007913136,180491.12685406508,13619.772695095704,Cash loans,F,Secondary / secondary special,158024.08499189763,Working,House / apartment
0,100328,0.6976112861421068,0.4452330551855656,-22984,-9888,297487.87220672145,1380743.9554039873,88864.68035029534,Revolving loans,F,Secondary / secondary special,1200225.6787050895,Working,House / apartment
0,100096,0.5084825577397302,0.5062251297128477,-16366,-9108,208205.32476660179,429769.24513297173,18977.81614683717,Cash loans,M,Secondary / secondary special,345669.5808636644,Pensioner,House / apartment
0,100312,0.40978557439302987,0.5746295468750325,-22026,-1501,142691.8847801109,378623.00316510716,18130.969178777443,Cash loans,M,Higher education,372261.8637799226,Working,House / apartment
0,100974,0.39356778469500564,0.4600341391344022,-14736,-9076,187137.6356801842,758199.8383680759,38883.72430789577,Cash loans,F,Secondary / secondary special,,State servant,House / apartment
0,100299,0.5428143126943163,0.49907239398451175,-23624,-9584,287764.8234376919,586642.9396764974,24927.779385989314,Cash loans,F,Secondary / secondary special,527180.1982520573,State servant,House / apartment
0,100277,0.600060622850307,0.5290319238147333,-15507,-6722,126817.18800656543,385110.6751295089,34230.158772988725,Cash loans,F,Secondary / secondary special,,Working,House / apartment
0,100924,0.549231221881595,0.6377726207321703,-16950,-6303,285258.904993183,1289423.1268644184,,Cash loans,F,Higher education,1204680.2827980104,Working,House / apartment
0,100601,0.4348977226615527,,-18118,-7739,232657.72902701155,478267.3586880936,19272.461833947535,Cash loans,F,Secondary / secondary special,,State servant,House / apartment
0,100439,0.4261689502149224,,-15311,-3336,136634.39270008422,276882.1233285271,18793.15615869471,Cash loans,M,Secondary / secondary special,265696.29004291445,Working,House / apartment
0,100837,0.5683463230692115,0.7488031094783614,-18613,-8525,241842.735288873,699349.9540686813,33499.116752001784,Cash loans,F,Secondary / secondary special,605028.9877649025,Commercial associate,House / apartment
0,100570,0.4910604395626842,0.4626148011005152,-13969,-7908,213255.2773046218,656386.6685967355,50415.62362105067,Cash loans,F,Secondary / secondary special,,Commercial associate,House / apartment
0,100879,0.44435536336906806,0.55996503401548,-20254,-6601,244283.46746162322,1167772.8504900048,48552.496921248036,Cash loans,M,Secondary / secondary special,975896.5462027638,Pensioner,House / apartment
0,100261,0.48141601762040426,0.7951039930372246,-16432,-9651,143612.10106624887,708794.305249681,30429.916839975867,Revolving loans,F,Secondary / secondary special,636009.0967415295,Working,House / apartment
0,100578,,0.5634069079020535,-22022,-7938,100474.3632099423,330052.675091955,18917.45116017164,Cash loans,F,Secondary / secondary special,295478.7025539575,Working,House / apartment
1,100023,0.3047064517526544,,-10578,-1580,99654.0457684183,472180.2969463494,34030.965906854115,Cash loans,F,Secondary / secondary special,445522.6322173697,Working,House / apartment
1,100030,0.2874427667263706,0.35459654176475464,-14142,-470,110121.99839883503,230815.0672029989,9764.603597873976,Revolving loans,F,Secondary / secondary special,,Pensioner,House / apartment
0,100617,0.46701796554480324,0.5623012357889399,-21554,-9383,243380.3108866135,722502.2771935692,64073.86452956222,Cash loans,F,Secondary / secondary special,584524.5565380614,Commercial associate,House / apartment
1,100010,0.10372998385726546,,-9741,-1840,58485.24569242289,266990.00851636444,19093.433797736383,Cash loans,M,Secondary / secondary special,263583.76385692984,Pensioner,House / apartment
0,100221,0.5453325928467367,0.6309168152709062,-22008,-6365,199628.0527653019,759357.5925188307,30779.38663639546,Cash loans,F,Secondary / secondary special,669899.1463625027,Commercial associate,House / apartment
0,100820,0.6024752972122859,0.5302188174943372,-14348,-8092,107073.63706230684,395285.0125947307,19483.745793176317,Cash loans,M,Secondary / secondary special,356522.57611324114,State servant,House / apartment
0,100296,,0.44573825863289074,-18347,-4406,172826.74674247392,479595.54329109273,19806.840086146884,Cash loans,F,Secondary / secondary special,404428.69792923843,Working,House / apartment
1,100054,0.06962949157881765,0.13810047096684938,-11541,-1885,99809.75302221766,353608.01723297697,32617.18801274902,Cash loans,F,Secondary / secondary special,345323.22562078625,Pensioner,House / apartment
0,100542,0.45907120255754363,0.7363370980082914,-13060,-1968,282806.87522744184,734704.5853562523,38535.819039989845,Cash loans,M,Secondary / secondary special,643165.3106219416,Working,House / apartment
0,100209,,0.46752122516539485,-21406,-2133,219786.5486975022,962869.2217054788,43474.27018605483,Cash loans,M,Higher education,861634.0790109766,Working,House / apartment
0,100604,0.40794255022598047,0.5189055088371765,-16644,-2149,119875.44018486678,310593.11145695526,13152.461960607276,Cash loans,F,Secondary / secondary special,253836.41215392883,Working,House / apartment
